
2024/10/03 (15:25:40) | ===> btop++ v.1.4.0
2024/10/03 (15:25:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (15:48:39) | ===> btop++ v.1.4.0
2024/10/04 (15:48:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (01:28:27) | ===> btop++ v.1.4.0
2024/10/05 (01:28:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (02:29:40) | ===> btop++ v.1.4.0
2024/10/05 (02:29:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (02:44:07) | ===> btop++ v.1.4.0
2024/10/05 (02:44:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (23:12:11) | ===> btop++ v.1.4.0
2024/10/05 (23:12:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (00:43:46) | ===> btop++ v.1.4.0
2024/10/06 (00:43:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (14:47:55) | ===> btop++ v.1.4.0
2024/10/07 (14:47:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (19:01:07) | ===> btop++ v.1.4.0
2024/10/07 (19:01:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (19:02:12) | ===> btop++ v.1.4.0
2024/10/07 (19:02:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (19:08:12) | ===> btop++ v.1.4.0
2024/10/07 (19:08:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (19:09:35) | ===> btop++ v.1.4.0
2024/10/07 (19:09:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (23:58:06) | ===> btop++ v.1.4.0
2024/10/07 (23:58:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (13:02:31) | ===> btop++ v.1.4.0
2024/10/08 (13:02:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (15:16:25) | ===> btop++ v.1.4.0
2024/10/08 (15:16:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (12:33:30) | ===> btop++ v.1.4.0
2024/10/10 (12:33:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (15:10:52) | ===> btop++ v.1.4.0
2024/10/10 (15:10:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (22:54:06) | ===> btop++ v.1.4.0
2024/10/11 (22:54:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (23:46:16) | ===> btop++ v.1.4.0
2024/10/11 (23:46:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (21:38:36) | ===> btop++ v.1.4.0
2024/10/12 (21:38:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (21:28:11) | ===> btop++ v.1.4.0
2024/10/13 (21:28:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (15:13:39) | ===> btop++ v.1.4.0
2024/10/14 (15:13:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (22:13:19) | ===> btop++ v.1.4.0
2024/10/14 (22:13:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (19:15:05) | ===> btop++ v.1.4.0
2024/10/15 (19:15:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (17:20:07) | ===> btop++ v.1.4.0
2024/10/16 (17:20:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (16:39:15) | ===> btop++ v.1.4.0
2024/10/17 (16:39:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (17:02:26) | ===> btop++ v.1.4.0
2024/10/18 (17:02:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (15:50:49) | ===> btop++ v.1.4.0
2024/10/19 (15:50:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (16:54:57) | ===> btop++ v.1.4.0
